"","Offense_Type","District","Year","Month","Day_Week","Street","Lat","Long"
"20275","aggravated assault","e13","2017","6","sunday","wardman rd","42.31529421","-71.09486034"
"20276","residential burglary","b2","2017","6","sunday","lawrence ave","42.31286677","-71.07841587"
"20277","robbery","c11","2017","6","sunday","washington st","42.28581121","-71.07115483"
"20278","aggravated assault","c11","2017","6","sunday","washington st","42.28581121","-71.07115483"
"20279","aggravated assault","b2","2017","6","sunday","magnolia st","42.31086842","-71.07425854"
"20280","residential burglary","d4","2017","6","sunday","symphony rd","42.34318178","-71.08987145"
"20281","aggravated assault","c11","2017","6","sunday","greenwich st","42.30348022","-71.05842644"
"20282","robbery","d4","2017","6","sunday","cumston pl","42.33896018","-71.07557292"
"20283","aggravated assault","c6","2017","6","sunday","e ninth st","42.33146325","-71.0501256"
"20284","residential burglary","c11","2017","6","sunday","washington st","42.28277895","-71.07135525"
"20285","residential burglary","e5","2017","6","sunday","stratford st","42.27835939","-71.14366997"
"20286","residential burglary","e5","2017","6","sunday","cotton st","42.29122865","-71.12958221"
"20287","aggravated assault","e13","2017","6","sunday","columbus ave","42.31771534","-71.09823049"
"20288","aggravated assault","d14","2017","6","sunday","glenville ave","42.34900457","-71.13649962"
"20289","aggravated assault","d14","2017","6","sunday","cambridge st","42.3499624","-71.14762531"
"20290","aggravated assault","a1","2017","6","sunday","state st","42.35942556","-71.05288819"
"20291","aggravated assault","b3","2017","6","sunday","wilmington ave","42.2799304","-71.0741148"
"20292","aggravated assault","b2","2017","6","sunday","townsend st","42.31812574","-71.09025637"
"20293","aggravated assault","b2","2017","6","sunday","columbia rd","42.3116312","-71.06974316"
"20294","aggravated assault","a1","2017","6","sunday","oliver st","42.35523656","-71.05205098"
"20295","residential burglary","c6","2017","6","sunday","peninsula pl","42.31987185","-71.04484536"
"20296","aggravated assault","b3","2017","6","sunday","michigan ave","42.30250605","-71.083294"
"20297","aggravated assault","e13","2017","6","sunday","bragdon st","42.31854554","-71.098663"
"20298","aggravated assault","e13","2017","6","sunday","heath st","42.32624204","-71.10317575"
"20299","residential burglary","d4","2017","6","wednesday","norway st","42.34535675","-71.0890965"
"20300","aggravated assault","e13","2017","6","saturday","walnut park","42.31534411","-71.09584709"
